text_clean,label_binary,label_multi,unanimous,n_hateful,n_offensive,n_neither
[USER]: As a woman you shouldn't complain about cleaning up your house. & as a man you should always take the trash out...,non-hateful,neither,True,0,0,3
[USER]: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,non-hateful,offensive,True,0,3,0
[USER] Dawg!!!!  [USER]: You ever fuck a bitch and she start to cry? You be confused as shit,non-hateful,offensive,True,0,3,0
[USER]: [USER] she look like a tranny,non-hateful,offensive,False,0,2,1
"""[USER]: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! 😂😂😂""",non-hateful,offensive,False,1,2,0
"""[USER]: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",non-hateful,offensive,True,0,3,0
“[USER]: cause I'm tired of you big bitches coming for us skinny girls!!”,non-hateful,offensive,True,0,3,0
""" & you might not get ya bitch back & thats that """,non-hateful,offensive,True,0,3,0
""" [USER] :hobbies include: fighting Mariam""  bitch",non-hateful,offensive,False,1,2,0
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",non-hateful,offensive,True,0,3,0
""" Murda Gang bitch its Gang Land """,non-hateful,offensive,True,0,3,0
""" So hoes that smoke are losers ? "" yea ... go on IG",non-hateful,offensive,False,0,2,1
""" bad bitches is the only thing that i like """,non-hateful,offensive,True,0,3,0
""" bitch get up off me """,non-hateful,offensive,False,1,2,0
""" bitch nigga miss me with it """,non-hateful,offensive,True,0,3,0
""" bitch plz whatever """,non-hateful,offensive,True,0,3,0
""" bitch who do you love """,non-hateful,offensive,False,1,2,0
""" bitches get cut off everyday B """,non-hateful,offensive,True,0,3,0
""" black bottle & a bad bitch """,non-hateful,offensive,True,0,3,0
""" broke bitch cant tell me nothing """,non-hateful,offensive,True,0,3,0
""" cancel that bitch like Nino """,non-hateful,offensive,True,0,3,0
""" cant you see these hoes wont change """,non-hateful,offensive,True,0,3,0
""" fuck no that bitch dont even suck dick "" 😂😂😂 the Kermit videos bout to fuck IG up",non-hateful,offensive,True,0,3,0
""" got ya bitch tip toeing on my hardwood floors "" 😂 [URL]",non-hateful,offensive,True,0,3,0
""" her pussy lips like Heaven doors "" 😌",non-hateful,offensive,False,0,2,1
""" hoe what its hitting for """,non-hateful,offensive,True,0,3,0
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" 😌",non-hateful,offensive,True,0,3,0
""" i need a trippy bitch who fuck on Hennessy """,non-hateful,offensive,True,0,3,0
""" i spend my money how i want bitch its my business """,non-hateful,offensive,True,0,3,0
""" i txt my old bitch my new bitch pussy wetter """,non-hateful,offensive,True,0,3,0
""" i'd say im back to the old me but my old bitches would get excited "" 😌",non-hateful,offensive,True,0,3,0
""" if you aint bout that Murder Game pussy nigga shut up """,non-hateful,offensive,True,0,3,0
""" if you're toes ain't done you pussy stinks """,non-hateful,offensive,True,0,3,0
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,non-hateful,offensive,True,0,3,0
""" is that ya bitch """,non-hateful,offensive,True,0,3,0
""" it aint nothing to cut a bitch off """,non-hateful,offensive,True,0,3,0
""" jus meet son now he ya mane ass bitches "" #Shots",non-hateful,offensive,True,0,3,0
""" lames crying over hoes thats tears of a clown """,non-hateful,offensive,False,0,2,1
""" like Snoop said in 94 we dont love these hoes """,non-hateful,offensive,True,0,3,0
""" momma said no pussy cats inside my doghouse """,non-hateful,neither,False,0,1,2
""" most hated but the hoes favorite "" #2MW #SevenOne # [URL]",non-hateful,offensive,True,0,3,0
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" [URL]",non-hateful,offensive,True,0,3,0
""" pimps up pimps up hoes down "" Future voice",non-hateful,offensive,True,0,3,0
""" post a picture of that pussy get 200 likes """,non-hateful,offensive,True,0,3,0
""" pussy is a powerful drug "" 😅 #HappyHumpDay [URL]",non-hateful,offensive,True,0,3,0
""" quick piece of pussy call it a drive by """,non-hateful,offensive,True,0,3,0
""" running round here like some brand new pussy thats bout to get fucked """,non-hateful,offensive,True,0,3,0
""" these bitches even worst they'll send them guys for you """,non-hateful,offensive,True,0,3,0
""" these hoes like niggas that spend money not talk bout it """,non-hateful,offensive,False,1,2,0
""" we dont trust these niggas all these bitches """,non-hateful,offensive,False,1,2,0
""" yall niggas b cuffing hoes cause yall aint never have bitches """,non-hateful,offensive,True,0,3,0
""" you dodge a bullet "" 😅 “[USER]: ""All da bitches I cut off pregnant or bound to be ....thank God 🙏""”",non-hateful,offensive,True,0,3,0
""" young Pill Chamberlain these bitches love my music """,non-hateful,offensive,True,0,3,0
"""😂😂😂😂😂😂😂😂😂😂😂[USER]: Teanna Trump probably cleaner than most of these twitter hoes but.........""",non-hateful,offensive,False,0,2,1
"""😂😂😂😂😂😂😂😂😂😂[USER]: Gay niggas couldn't wait to act like bitches tonight""",non-hateful,offensive,True,0,3,0
"""😂😂😂[USER]: And ima steal his cat n replace it with a pitbull 😂😂😂😂  [USER]: [USER] He a bitch you should do it""",non-hateful,offensive,True,0,3,0
"""& he's gone always be a hoe""",non-hateful,offensive,True,0,3,0
"""...Son of a bitch took my Tic Tacs.""  I like this movie.",non-hateful,offensive,True,0,3,0
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",non-hateful,offensive,True,0,3,0
"""[USER]: I probably wouldn’t mind school as much if we didn’t have to deal with bitch ass teachers"". Retweet",non-hateful,offensive,False,0,2,1
"""[USER]: I'm a fucking fag they said""",non-hateful,offensive,True,0,3,0
"""[USER]: Females think dating a pussy is cute now? [URL] how does doing this stuff make him a pussy?",non-hateful,offensive,True,0,3,0
"""[USER]: -SimplyAddictedToGuys [URL] woof woof hot scally lad",non-hateful,neither,True,0,0,3
"""[USER]: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",non-hateful,offensive,True,0,3,0
"""[USER]: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! 😩😩😩😩"" I SWEAR!!!!!",non-hateful,offensive,True,0,3,0
"""[USER]: [URL] woof woof and hot soles",non-hateful,neither,False,0,1,2
"""[USER]: Lemmie eat a Oreo & do these dishes."" One oreo? Lol",non-hateful,neither,False,0,1,2
"""[USER]: [USER] [USER] bitch fuck u [URL] maybe you'll get better. Just [URL]",non-hateful,offensive,True,0,3,0
"""[USER]: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",non-hateful,offensive,False,1,2,0
"""[USER]: Why the eggplant emoji doe?""y he say she looked like scream lmao",non-hateful,neither,True,0,0,3
"""[USER]: Hennessey Venom GT 🙈 [URL] that's one sexy bitch",non-hateful,offensive,True,0,3,0
"""[USER]: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""<lmao!!",non-hateful,offensive,True,0,3,0
"""[USER]: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",non-hateful,offensive,True,0,3,0
"""[USER]: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life [URL] [USER]",non-hateful,offensive,False,1,2,0
"""[USER]: baby monkey bathtime [URL] Awwwwe! This is soooo ADORABLE!",non-hateful,neither,False,0,1,2
"""[USER]: 😂😂😂😂 I ain't shit ."" Damn Skippy lol",non-hateful,offensive,True,0,3,0
"""[USER]: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b >30%chance",non-hateful,offensive,False,1,2,0
"""[USER]: [USER] [URL] 0 rings 0 mvps 0 bitches lol",non-hateful,offensive,True,0,3,0
"""[USER]: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",non-hateful,offensive,False,1,2,0
"""[USER]: 💯💯💯  [USER] Bitches be wanting to act like niggas so bad 😩😩😩 that shit aint cuteeeee"" but niggas act like bitches..",non-hateful,offensive,True,0,3,0
"""[USER]: Get worshiping bitch! [URL] woof woof",non-hateful,offensive,True,0,3,0
"""[USER]: Wow.  [USER] I'm lost. Are those buttcheek piercings? [URL] yeah she's a hoe",non-hateful,offensive,False,1,2,0
"""[USER]: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] [USER] queer"" gaywad",hateful,hateful,False,2,1,0
"""[USER]: [USER] faggot read my tweets after dat k"" it wasn't even funny lol",non-hateful,offensive,True,0,3,0
"""[USER]: This bitch was so ungrateful [URL] fr ..... LULWHORE",non-hateful,offensive,True,0,3,0
"""[USER]: I been kidnapped yo bitch""",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] alsarabsss"" hes a beaner smh you can tell hes a mexican",hateful,hateful,True,3,0,0
"""[USER]: [USER] happy birthday nigs"" Thanks yo",non-hateful,offensive,False,1,2,0
"""[USER]: ""[USER]: [USER] that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. [URL]",non-hateful,offensive,False,1,2,0
"""[USER]: What would y'all lil ugly bald headed bitches do if they stop making make-up & weave?""",non-hateful,offensive,True,0,3,0
"""[USER]: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",non-hateful,offensive,False,1,2,0
